free_course,school,difficulty,skills,description,full_url,nd_url,nd_name
Artificial Intelligence for Robotics,School of Artificial Intelligence,advanced,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping","Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.Learn More",https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Deep Learning with PyTorch,School of Artificial Intelligence,intermediate,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",Learn the basics of deep learning and implement your own deep neural networks with PyTorchLearn More,https://www.udacity.com/course/deep-learning-pytorch--ud188,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning
AWS DeepRacer,School of Artificial Intelligence,intermediate,"Machine Learning, Reinforcement Learning, AWS DeepRacer",Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.Learn More,https://www.udacity.com/course/aws-deepracer--ud014,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer
Reinforcement Learning,School of Artificial Intelligence,"",Georgia Institute of Technology,Learn More,https://www.udacity.com/course/reinforcement-learning--ud600,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning
Introduction to Machine Learning Course,School of Artificial Intelligence,intermediate,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation","This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity.Learn More",https://www.udacity.com/course/intro-to-machine-learning--ud120,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Data Science Interview Prep,Career Advancement,intermediate,"Interview practice, Common Data Questions, Data Structures, Career Advancement","Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.Learn More",https://www.udacity.com/course/data-science-interview-prep--ud944,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Front-End Interview Prep,Career Advancement,intermediate,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement",Answer front-end technical and behavioral interview questions with confidence and poise.Learn More,https://www.udacity.com/course/front-end-interview-prep--ud250,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Data Structures & Algorithms in Swift,Career Advancement,intermediate,"Interview practice, Swift, Data structures, Career Advancement",Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.Learn More,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
VR Interview Prep,Career Advancement,intermediate,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement",Learn how to tackle interview questions for technical roles in VR Development.Learn More,https://www.udacity.com/course/vr-interview-prep--ud251,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Product Manager Interview Preparation,Career Advancement,beginner,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview","Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions.Learn More",https://www.udacity.com/course/product-manager-interview-preparation--ud034,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager
